Est;Esp;Ser;Titulo;/P;Cliente;Port;Cart;Referencia;Moeda;Valor;Factoring;Multa;Desconto ;Juros;ISS;IR;INSS;PIS;COFINS;CSLL;Liquidac/Credito;ContaContabil;
1;LC;;505757;1;C000142215;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;513411;1;C000101103;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;503653;1;C000140825;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;506336;1;C000137059;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;511483;1;C000110977;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;503807;1;C000134888;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;505773;1;C000142176;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;503646;1;C000140938;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;505764;1;C000142195;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;509574;1;C000119904;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;505756;1;C000142217;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;509578;1;C000119892;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;510416;1;C000116548;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;503564;1;C000142214;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;505767;1;C000142191;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;506390;1;C000136455;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;503562;1;C000142219;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;509604;1;C000119822;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;508174;1;C000125483;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;505897;1;C000141600;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;505772;1;C000142177;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
1;LC;;505754;1;C000142220;2;Padrao;Baixa;Real;12;0;0;0;0;0;0;0;0;0;0;2020-03-26;;
